3;
0.794722492;0.417421215;
0.487154372;0.816851868;
0.272176145;0.226121714;
8;
18;2;
3;0.348265448;0.269011835;
2;0.234727223;0.757319949;
1;0.767184912;0.721171411;
2;0.716671110;0.867750641;
1;0.919303164;0.573783432;
3;0.344657111;0.165592322;
2;0.456945687;0.939763359;
3;0.276023884;0.150339727;
1;0.562195095;0.473443426;
3;0.235105096;0.325536645;
1;0.903213043;0.004042724;
2;0.563295614;0.704394646;
2;0.464132225;0.815030744;
1;0.781520654;0.327890346;
3;0.029144362;0.158528215;
1;0.834918083;0.404195950;
3;0.050047786;0.453949574;
3;0.621989326;0.059893677;
